June 2018 Tejon Seedling Counts,,,,1 = All Excluded    2 = Cows Excluded   3 = Control,,,,,,,,,,,,,,
"Carina Motta, Devyn Orr",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Location,Year,Month,Site,Block,Plot,Transect,# seedlings,# after 1st yr,# old seedlings,dead,clump,alive dess,dead dess,herb above,herb below,notes ,,Total_Alive and dead
Tejon,2018,June,Intermediate,3,2,1,5,,,,,,,,,,,
Tejon,2018,June,Intermediate,3,2,1,3,,,3,1,,,,,,,
Tejon,2018,June,Intermediate,3,2,1,2,,,,1,,,,,,,
Tejon,2018,June,Intermediate,3,2,2,1,,,1,,,,,,,,
Tejon,2018,June,Intermediate ,3,2,3,0,,,,,,,,,,,
Tejon,2018,June,Intermediate,3,1,1,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,3,1,2,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,3,1,3,1,,,,,1,,,,,,
Tejon,2018,June,Intermediate,3,1,3,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,3,1,3,1,,,,,,,,,,,
Tejon,2018,June,Intermediate,3,1,3,3,,,,,,,,,,,
Tejon,2018,June,Intermediate,3,3,1,2,,,,,,,,,,,
Tejon,2018,June,Intermediate,3,3,2,2,,,1,1,,,,,,,
Tejon,2018,June,Intermediate,3,3,2,2,,,2,1,,,,,,,
Tejon,2018,June,Intermediate,3,3,3,0,,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,1,2,,,,1,,,,,,,
Tejon,2018,June,Mesic,1,1,1,2,,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,1,2,,,,1,,,,,,,
Tejon,2018,June,Mesic,1,1,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,1,2,,,,1,,,,,,,
Tejon,2018,June,Mesic,1,1,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,1,1,,,1,,,,,,,,
Tejon,2018,June,Mesic,1,1,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,1,1,,,,,,,,,,,
Tejon,2018,June,Mesic,1,1,1,1,,,,,,,,,,,
